timestamp,latitude,longitude,altitude,speed,heading,satellites,fix_quality,hdop,vdop,pdop
2026-09-11T12:00:00.000Z,28.613900,77.209004,215.0,11.80,65.0,11,1,0.80,1.14,1.42
2026-09-11T12:00:01.000Z,28.613939,77.209102,215.1,11.90,65.2,11,1,0.83,1.18,1.48
2026-09-11T12:00:02.000Z,28.613977,77.209200,215.3,11.99,65.4,11,1,0.86,1.22,1.53
2026-09-11T12:00:03.000Z,28.614016,77.209298,215.4,12.08,65.5,11,1,0.89,1.26,1.58
2026-09-11T12:00:04.000Z,28.614054,77.209395,215.6,12.16,65.7,11,1,0.80,1.14,1.42
2026-09-11T12:00:05.000Z,28.614093,77.209493,215.7,12.22,65.9,11,1,0.83,1.18,1.48
2026-09-11T12:00:06.000Z,28.614131,77.209591,215.8,12.27,66.0,11,1,0.86,1.22,1.53
2026-09-11T12:00:07.000Z,28.614170,77.209688,215.9,12.29,66.2,11,1,0.89,1.26,1.58
2026-09-11T12:00:08.000Z,28.614208,77.209786,216.0,12.30,66.3,11,1,0.80,1.14,1.42
2026-09-11T12:00:09.000Z,28.614246,77.209883,216.1,12.29,66.4,11,1,0.83,1.18,1.48
2026-09-11T12:00:10.000Z,28.614284,77.209981,216.1,12.25,66.5,11,1,0.86,1.22,1.53
2026-09-11T12:00:11.000Z,28.614322,77.210078,216.2,12.20,66.6,11,1,0.89,1.26,1.58
2026-09-11T12:00:12.000Z,28.614360,77.210175,216.2,12.14,66.7,11,1,0.80,1.14,1.42
2026-09-11T12:00:13.000Z,28.614397,77.210273,216.2,12.06,66.7,11,1,0.83,1.18,1.48
2026-09-11T12:00:14.000Z,28.614435,77.210370,216.2,11.97,66.8,11,1,0.86,1.22,1.53
2026-09-11T12:00:15.000Z,28.614472,77.210468,216.1,11.87,66.8,11,1,0.89,1.26,1.58
2026-09-11T12:00:16.000Z,28.614510,77.210565,216.1,11.77,66.8,11,1,0.80,1.14,1.42
2026-09-11T12:00:17.000Z,28.614547,77.210663,216.0,11.67,66.8,11,1,0.83,1.18,1.48
2026-09-11T12:00:18.000Z,28.614585,77.210761,215.9,11.58,66.8,11,1,0.86,1.22,1.53
2026-09-11T12:00:19.000Z,28.614622,77.210858,215.8,11.49,66.7,11,1,0.89,1.26,1.58
2026-09-11T12:00:20.000Z,28.614659,77.210956,215.7,11.42,66.6,11,1,0.80,1.14,1.42
2026-09-11T12:00:21.000Z,28.614697,77.211054,215.6,11.36,66.6,11,1,0.83,1.18,1.48
2026-09-11T12:00:22.000Z,28.614734,77.211152,215.5,11.32,66.5,11,1,0.86,1.22,1.53
2026-09-11T12:00:23.000Z,28.614771,77.211250,215.3,11.30,66.3,11,1,0.89,1.26,1.58
2026-09-11T12:00:24.000Z,28.614809,77.211348,215.2,11.30,66.2,11,1,0.80,1.14,1.42
2026-09-11T12:00:25.000Z,28.614847,77.211446,215.0,11.32,66.1,11,1,0.83,1.18,1.48
2026-09-11T12:00:26.000Z,28.614884,77.211545,214.9,11.36,65.9,11,1,0.86,1.22,1.53
2026-09-11T12:00:27.000Z,28.614922,77.211643,214.7,11.41,65.8,9,1,1.20,1.70,2.14
2026-09-11T12:00:28.000Z,28.614960,77.211741,214.6,11.48,65.6,9,1,1.20,1.70,2.14
2026-09-11T12:00:29.000Z,28.614998,77.211840,214.4,11.57,65.4,9,1,1.20,1.70,2.14
2026-09-11T12:00:30.000Z,28.615036,77.211938,214.3,11.66,65.3,9,1,1.20,1.70,2.14
2026-09-11T12:00:31.000Z,28.615074,77.212037,214.2,11.76,65.1,9,1,1.20,1.70,2.14
2026-09-11T12:00:32.000Z,28.615113,77.212135,214.1,11.86,64.9,11,1,0.80,1.14,1.42
2026-09-11T12:00:33.000Z,28.615151,77.212234,214.0,11.96,64.7,11,1,0.83,1.18,1.48
2026-09-11T12:00:34.000Z,28.615190,77.212333,213.9,12.05,64.5,11,1,0.86,1.22,1.53
2026-09-11T12:00:35.000Z,28.615228,77.212431,213.9,12.13,64.4,11,1,0.89,1.26,1.58
2026-09-11T12:00:36.000Z,28.615267,77.212530,213.8,12.20,64.2,11,1,0.80,1.14,1.42
2026-09-11T12:00:37.000Z,28.615306,77.212628,213.8,12.25,64.0,11,1,0.83,1.18,1.48
2026-09-11T12:00:38.000Z,28.615344,77.212727,213.8,12.28,63.9,11,1,0.86,1.22,1.53
2026-09-11T12:00:39.000Z,28.615383,77.212825,213.8,12.30,63.8,11,1,0.89,1.26,1.58
2026-09-11T12:00:40.000Z,28.615421,77.212923,213.8,12.29,63.6,11,1,0.80,1.14,1.42
2026-09-11T12:00:41.000Z,28.615460,77.213022,213.9,12.27,63.5,11,1,0.83,1.18,1.48
2026-09-11T12:00:42.000Z,28.615499,77.213120,214.0,12.23,63.4,11,1,0.86,1.22,1.53
2026-09-11T12:00:43.000Z,28.615537,77.213218,214.1,12.17,63.4,11,1,0.89,1.26,1.58
2026-09-11T12:00:44.000Z,28.615575,77.213316,214.2,12.09,63.3,11,1,0.80,1.14,1.42
